Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score,Study_Category,Attendance_Category,Score_Category,Study_Efficiency
Male,5.5,No,Urban,72.7,Tertiary,43.5,Medium (5-10h),Fair (60-75%),Fail (<50),6.6923076923076925
Female,6.8,No,Urban,62.0,Primary,51.7,Medium (5-10h),Fair (60-75%),Pass (50-70),6.628205128205129
Female,9.7,No,Rural,95.0,Secondary,70.1,Medium (5-10h),Excellent (90%+),Good (70-85),6.5514018691588785
Male,13.3,Yes,Rural,52.9,,79.5,High (10-15h),Poor (<60%),Good (70-85),5.559440559440559
Female,8.9,No,Urban,50.8,,52.2,Medium (5-10h),Poor (<60%),Pass (50-70),5.2727272727272725
Female,7.9,No,Urban,73.7,Tertiary,58.8,Medium (5-10h),Fair (60-75%),Pass (50-70),6.606741573033707
Female,7.6,No,Urban,79.5,Secondary,64.8,Medium (5-10h),Good (75-90%),Pass (50-70),7.534883720930233
Female,12.3,Yes,Urban,98.4,Secondary,100.0,High (10-15h),Excellent (90%+),Excellent (85+),7.518796992481203
Female,10.6,Yes,Rural,72.3,Primary,87.8,High (10-15h),Fair (60-75%),Excellent (85+),7.568965517241379
Female,9.9,No,Rural,73.2,Tertiary,67.0,Medium (5-10h),Fair (60-75%),Pass (50-70),6.146788990825688
Female,3.9,No,Urban,89.7,Tertiary,48.8,Low (0-5h),Good (75-90%),Fail (<50),9.959183673469386
Male,2.3,Yes,Rural,85.7,,52.6,Low (0-5h),Good (75-90%),Pass (50-70),15.939393939393941
Male,14.0,Yes,Rural,89.1,Tertiary,100.0,High (10-15h),Good (75-90%),Excellent (85+),6.666666666666667
Female,9.1,Yes,Rural,62.0,Primary,75.8,Medium (5-10h),Fair (60-75%),Good (70-85),7.5049504950495045
Male,15.3,Yes,Urban,77.2,Tertiary,100.0,Very High (15h+),Good (75-90%),Excellent (85+),6.134969325153374
Male,10.6,Yes,Rural,76.9,Secondary,72.4,High (10-15h),Good (75-90%),Good (70-85),6.241379310344828
Male,9.1,No,Rural,78.5,Secondary,56.4,Medium (5-10h),Good (75-90%),Pass (50-70),5.584158415841584
Male,12.7,No,Urban,89.9,,83.1,High (10-15h),Good (75-90%),Good (70-85),6.065693430656935
Male,7.1,No,Rural,69.7,Tertiary,42.6,Medium (5-10h),Fair (60-75%),Fail (<50),5.2592592592592595
Female,9.0,No,Urban,61.5,Secondary,60.8,Medium (5-10h),Fair (60-75%),Pass (50-70),6.08
Male,11.8,Yes,Urban,74.4,Secondary,82.3,High (10-15h),Fair (60-75%),Good (70-85),6.429687499999999
Female,9.7,Yes,Urban,58.9,Tertiary,75.9,Medium (5-10h),Poor (<60%),Good (70-85),7.093457943925235
Female,5.1,No,Urban,50.4,Primary,42.7,Medium (5-10h),Poor (<60%),Fail (<50),7.000000000000001
Male,5.4,No,Rural,50.1,Tertiary,34.8,Medium (5-10h),Poor (<60%),Fail (<50),5.437499999999999
Male,13.9,No,Urban,70.4,Secondary,88.9,High (10-15h),Fair (60-75%),Excellent (85+),5.966442953020135
Female,9.4,No,Urban,71.4,Tertiary,67.9,Medium (5-10h),Fair (60-75%),Pass (50-70),6.528846153846154
Female,0.0,Yes,Urban,60.8,Tertiary,44.1,,Fair (60-75%),Fail (<50),44.1
Female,14.1,Yes,Rural,79.8,Secondary,89.5,High (10-15h),Good (75-90%),Excellent (85+),5.927152317880795
Female,3.5,No,Urban,72.4,,35.8,Low (0-5h),Fair (60-75%),Fail (<50),7.955555555555555
Male,11.7,No,Urban,71.6,,76.0,High (10-15h),Fair (60-75%),Good (70-85),5.984251968503937
Female,15.4,No,Urban,99.5,Tertiary,94.0,Very High (15h+),Excellent (90%+),Excellent (85+),5.731707317073171
Male,4.8,No,Urban,98.9,Secondary,57.2,Low (0-5h),Excellent (90%+),Pass (50-70),9.862068965517242
Female,11.3,Yes,Urban,87.2,Secondary,91.0,High (10-15h),Good (75-90%),Excellent (85+),7.398373983739837
Male,7.4,Yes,Urban,60.6,Tertiary,70.1,Medium (5-10h),Fair (60-75%),Good (70-85),8.345238095238095
Female,16.0,No,Urban,92.4,Secondary,100.0,Very High (15h+),Excellent (90%+),Excellent (85+),5.882352941176471
Female,10.7,No,Urban,80.6,Tertiary,74.6,High (10-15h),Good (75-90%),Good (70-85),6.376068376068376
Male,9.9,No,Rural,89.4,,65.1,Medium (5-10h),Good (75-90%),Pass (50-70),5.9724770642201825
Female,2.7,No,Rural,79.2,Primary,38.5,Low (0-5h),Good (75-90%),Fail (<50),10.405405405405405
Female,6.3,No,Rural,71.6,Tertiary,52.7,Medium (5-10h),Fair (60-75%),Pass (50-70),7.219178082191782
Male,6.2,No,Urban,70.8,Tertiary,54.6,Medium (5-10h),Fair (60-75%),Pass (50-70),7.583333333333333
Male,6.3,No,Rural,98.2,Tertiary,56.4,Medium (5-10h),Excellent (90%+),Pass (50-70),7.726027397260274
Female,12.6,Yes,Urban,95.9,Secondary,93.9,High (10-15h),Excellent (90%+),Excellent (85+),6.904411764705883
Male,10.4,No,Urban,99.9,Tertiary,77.1,High (10-15h),Excellent (90%+),Good (70-85),6.763157894736842
Female,14.9,No,Rural,84.5,Tertiary,92.7,High (10-15h),Good (75-90%),Excellent (85+),5.830188679245283
Female,9.1,Yes,Urban,84.9,Secondary,87.2,Medium (5-10h),Good (75-90%),Excellent (85+),8.633663366336634
Female,9.0,No,Urban,96.9,Primary,68.1,Medium (5-10h),Excellent (90%+),Pass (50-70),6.81
Female,5.2,No,Urban,62.2,,39.7,Medium (5-10h),Fair (60-75%),Fail (<50),6.403225806451613
Female,7.9,Yes,Rural,71.1,Tertiary,75.2,Medium (5-10h),Fair (60-75%),Good (70-85),8.44943820224719
Male,10.7,No,Urban,57.0,Primary,63.9,High (10-15h),Poor (<60%),Pass (50-70),5.461538461538462
Female,12.8,Yes,Urban,50.0,Secondary,91.5,High (10-15h),Poor (<60%),Excellent (85+),6.630434782608695
Male,10.9,No,Urban,58.7,Secondary,66.6,High (10-15h),Poor (<60%),Pass (50-70),5.5966386554621845
Female,11.8,Yes,Rural,78.0,Secondary,85.7,High (10-15h),Good (75-90%),Excellent (85+),6.6953125
Female,7.6,No,Rural,96.6,Tertiary,65.2,Medium (5-10h),Excellent (90%+),Pass (50-70),7.58139534883721
Female,6.8,Yes,Urban,52.4,Secondary,70.6,Medium (5-10h),Poor (<60%),Good (70-85),9.051282051282051
Female,7.7,No,Rural,93.2,Tertiary,64.5,Medium (5-10h),Excellent (90%+),Pass (50-70),7.413793103448277
Male,2.7,Yes,Rural,55.6,Tertiary,46.5,Low (0-5h),Poor (<60%),Fail (<50),12.567567567567567
Female,8.2,Yes,Urban,61.5,Primary,66.7,Medium (5-10h),Fair (60-75%),Pass (50-70),7.250000000000001
Male,8.2,No,Rural,65.0,Secondary,52.5,Medium (5-10h),Fair (60-75%),Pass (50-70),5.7065217391304355
Male,15.5,No,Urban,84.1,Secondary,98.0,Very High (15h+),Good (75-90%),Excellent (85+),5.9393939393939394
Female,7.1,Yes,Urban,72.6,Secondary,69.7,Medium (5-10h),Fair (60-75%),Pass (50-70),8.604938271604938
Female,4.7,No,Rural,70.8,Secondary,47.0,Low (0-5h),Fair (60-75%),Fail (<50),8.24561403508772
Male,16.0,No,Urban,90.2,Tertiary,100.0,Very High (15h+),Excellent (90%+),Excellent (85+),5.882352941176471
Female,6.2,No,Urban,93.3,Tertiary,60.8,Medium (5-10h),Excellent (90%+),Pass (50-70),8.444444444444445
Male,13.0,No,Urban,94.8,Secondary,92.9,High (10-15h),Excellent (90%+),Excellent (85+),6.635714285714286
Female,12.4,No,Urban,90.4,,83.5,High (10-15h),Excellent (90%+),Good (70-85),6.231343283582089
Male,2.0,No,Urban,98.6,Secondary,43.0,Low (0-5h),Excellent (90%+),Fail (<50),14.333333333333334
Male,16.0,No,Rural,56.4,Secondary,88.9,Very High (15h+),Poor (<60%),Excellent (85+),5.229411764705882
Male,9.8,Yes,Urban,99.9,Secondary,96.2,Medium (5-10h),Excellent (90%+),Excellent (85+),8.907407407407407
Male,12.0,No,Rural,94.3,,74.9,High (10-15h),Excellent (90%+),Good (70-85),5.761538461538462
Male,8.5,No,Urban,84.2,Tertiary,56.2,Medium (5-10h),Good (75-90%),Pass (50-70),5.915789473684211
Female,8.4,No,Urban,86.8,,67.7,Medium (5-10h),Good (75-90%),Pass (50-70),7.202127659574468
Female,14.9,No,Urban,63.3,Primary,83.2,High (10-15h),Fair (60-75%),Good (70-85),5.232704402515723
Male,11.3,No,Rural,77.9,,66.2,High (10-15h),Good (75-90%),Pass (50-70),5.382113821138211
Male,13.6,Yes,Urban,59.8,Secondary,94.1,High (10-15h),Poor (<60%),Excellent (85+),6.445205479452055
Male,16.0,Yes,Urban,87.4,Secondary,100.0,Very High (15h+),Good (75-90%),Excellent (85+),5.882352941176471
Female,15.1,No,Urban,92.5,Secondary,91.1,Very High (15h+),Excellent (90%+),Excellent (85+),5.658385093167701
Female,16.0,No,Rural,56.7,Tertiary,85.1,Very High (15h+),Poor (<60%),Excellent (85+),5.0058823529411764
Male,10.9,No,Rural,56.8,Tertiary,63.9,High (10-15h),Poor (<60%),Pass (50-70),5.369747899159663
Female,3.7,No,Urban,76.8,Primary,40.8,Low (0-5h),Good (75-90%),Fail (<50),8.680851063829786
Male,1.2,No,Urban,83.0,Primary,44.1,Low (0-5h),Good (75-90%),Fail (<50),20.045454545454543
Male,10.3,No,Urban,91.4,Secondary,73.7,High (10-15h),Excellent (90%+),Good (70-85),6.522123893805309
Female,3.8,Yes,Urban,80.7,Primary,61.8,Low (0-5h),Good (75-90%),Pass (50-70),12.875
Male,6.0,No,Urban,88.2,Secondary,62.5,Medium (5-10h),Good (75-90%),Pass (50-70),8.928571428571429
Female,4.5,No,Urban,63.2,Secondary,50.7,Low (0-5h),Fair (60-75%),Pass (50-70),9.218181818181819
Female,10.7,No,Rural,68.2,Tertiary,73.3,High (10-15h),Fair (60-75%),Good (70-85),6.264957264957265
Female,6.3,No,Urban,91.0,Primary,52.2,Medium (5-10h),Excellent (90%+),Pass (50-70),7.1506849315068495
Female,14.4,No,Rural,83.4,Tertiary,77.2,High (10-15h),Good (75-90%),Good (70-85),5.012987012987013
Female,9.2,Yes,Rural,59.6,Primary,84.7,Medium (5-10h),Poor (<60%),Good (70-85),8.303921568627452
Female,6.5,No,Rural,96.5,Secondary,65.4,Medium (5-10h),Excellent (90%+),Pass (50-70),8.72
Male,7.9,No,Rural,99.7,Secondary,65.3,Medium (5-10h),Excellent (90%+),Pass (50-70),7.337078651685393
Female,11.6,No,Urban,77.8,Secondary,74.9,High (10-15h),Good (75-90%),Good (70-85),5.944444444444445
Female,10.6,Yes,Rural,89.1,Tertiary,88.0,High (10-15h),Good (75-90%),Excellent (85+),7.586206896551724
Male,7.0,No,Rural,97.6,Primary,52.0,Medium (5-10h),Excellent (90%+),Pass (50-70),6.5
Male,10.9,No,Urban,86.9,Secondary,73.2,High (10-15h),Good (75-90%),Good (70-85),6.151260504201681
Female,14.7,Yes,Urban,80.8,Tertiary,100.0,High (10-15h),Good (75-90%),Excellent (85+),6.369426751592357
Male,10.6,Yes,Rural,61.8,Primary,76.3,High (10-15h),Fair (60-75%),Good (70-85),6.577586206896552
Male,4.3,No,Urban,91.5,Secondary,55.4,Low (0-5h),Excellent (90%+),Pass (50-70),10.452830188679245
Female,8.6,Yes,Rural,62.6,Primary,71.1,Medium (5-10h),Fair (60-75%),Good (70-85),7.40625
Female,6.4,No,Rural,76.1,Primary,50.5,Medium (5-10h),Good (75-90%),Pass (50-70),6.824324324324324
Male,0.8,No,Urban,76.7,Tertiary,31.3,Low (0-5h),Good (75-90%),Fail (<50),17.38888888888889
Female,10.1,Yes,Rural,78.8,Secondary,76.8,High (10-15h),Good (75-90%),Good (70-85),6.918918918918919
